Titre,Badge / numéro,Image,Texte,Couleur,Catégorie,Note
Coup-de-foudre,IB,,Deux âmes se rencontrent,#e51919,Intrigue,"Deux âmes se rencontrent et tombent immédiatement amoureuses, symbolisant l'amour pur et instantané."
Désobéisance,IC,,Une rébellion se prépare,#e51919,Intrigue,"Une rébellion se prépare contre une autorité établie, mettant en lumière les luttes pour la liberté et le pouvoir."
Vengeance,ID,,Un individu orchestre une série d'événements pour punir celles et ceux qui l'ont trahi,#e51919,Intrigue,"Un individu orchestre une série d'événements pour punir celles et ceux qui l'ont trahi, utilisant des moyens extraordinaires pour atteindre ses objectifs."
Renoncement,IE,,Un personnage abandonne ses ambitions,#e51919,Intrigue,"Un personnage abandonne des pouvoirs ou des ambitions pour choisir le pardon et la réconciliation, marquant un tournant vers la paix."
Révélation,IF,,Des apparitions influencent et manipulent,#e51919,Intrigue,Un secret est révélé aux personnages. Leur existence est chamboulée.
Cosmologie,IG,,Description de l'univers et du temps,#e51919,Intrigue,"Une description de l'univers chaotique d'où émerge tempêtes et amour. Le fond temporelle et celui d'un temps suspendu, l'espace-temps flottant d'une pièce et de sa mise-en-scène. Un espace liminal entre deux mondes. Avant que n'existent la mer, la terre et le ciel qui couvre tout, la nature dans l'univers entier ne présentait qu'un seul aspect, que l'on nomma Chaos. C'était une masse grossière et confuse, rien d'autre qu'un amas inerte, un entassement de semences de choses, d'éléments divisés et mal joints. C'est le temps et l'espace d'une pièce de théâtre où nous sommes faits de l'étoffe dont sont tissés les songes, et notre vie si courte a pour frontière un sommeil."
Plage,LA,,vagues de la mer,#09cbcb,Lieu,Vagues de la mer.
Tempête,LB,,vents violents,#09cbcb,Lieu,Vents violents.
Clarière,LC,,nuit paisible,#09cbcb,Lieu,Nuit paisible.
Champ,LD,,printannier,#09cbcb,Lieu,Printannier.
Caverne,LE,,lugubre ,#09cbcb,Lieu,Lugubre.
Forêt,LF,,mystérieux,#09cbcb,Lieu,Mystérieux.
Fontaine,LG,,mélodie joyeuse,#09cbcb,Lieu,La mélodie joyeuse de l'eau qui coule.
Cosmos,LH,,bruit cosmique,#09cbcb,Lieu,Le bruit des muons qui traverse la terre à toute vitesse.
